,smiles,化合物结构,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,细胞毒性,期刊名、卷、页码,文献原始数据截图,备注,,
,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,"5g R1=H ，R2=H ，R3=CH3 ,R4=H ",12.66262,24.95281,24.95281,,,24.95281,,,,中毒,,,,,
,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4.C,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4.C,"5h R1=H ，R2=CH3 ，R3=CH3 ,R4=H ",12.41519,25.23087,25.23087,,,25.23087,,,,中毒,,,,,
,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,"5i R1=CH3 ，R2=H ，R3=CH3 ,R4=H ",25.1199,25.1199,25.1199,,,25.1199,,,,中毒,,,,,
,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4SC,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4SC,"5j R1=SCH3 ，R2=H ，R3=CH3 ,R4=H ",25.1118,25.1118,25.1118,,,25.1118,,,,中毒,,,,,
,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C6=CC=CC=C6,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C6=CC=CC=C6,"5k R1=C6H5 ，R2=H ，R3=CH3 ,R4=H ",25.11768,25.11768,25.11768,,,25.11768,,,,中毒,,,,,
,O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C#CC#CC#[NH4],O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C#CC#CC#[NH4],"5l R1=C5H4N ，R2=H ，R3=CH3 ,R4=H ",12.58656,25.17312,25.17312,,,25.17312,,,,中毒,,,,,
,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,"5m R1=H ，R2=H ，R3=H ,R4=NO2 ",12.5054,25.0108,25.0108,,,25.0108,,,,中毒,,,,,
,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4,"5n R1=H ，R2=CH3 ，R3=H ,R4=NO2 ",12.51234,25.02468,25.02468,,,25.02468,,,,中毒,,,,,
,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,"5o R1=CH3 ，R2=H ，R3=H ,R4=NO2 ",25.0458,25.0458,12.5229,,,12.5229,,,,中毒,,,,,
,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4SC,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4SC,"5p R1=SCH3 ，R2=H ，R3=H ,R4=NO2 ",13.0355,25.172,25.172,,,25.172,,,,高毒,,,,,
,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C6=CC=CC=C6,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C6=CC=CC=C6,"5q R1=C6H5 ，R2=H ，R3=H ,R4=NO2 ",12.467,24.934,24.934,,,24.934,,,,中毒,,,,,
,O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C#CC#CC#[NH4],O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C#CC#CC#[NH4],"5r R1=C5H4N ，R2=H ，R3=H ,R4=NO2 ",6.24637,24.98548,12.49274,,,12.49274,,,,高毒,,,,,
1181,,,,S.aureus,,,,,E.Coli,P.aeruginosa,,,,European Journal of Medicinal Chemistry 168 (2019) 263e282,,,,
,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=C([N+]([O-])=O)C=C4)N=N3)C(C=CC=C5)=C5S2)=C,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=C([N+]([O-])=O)C=C4)N=N3)C(C=CC=C5)=C5S2)=C,"11b, R1=H,R2=4-NO2",50,,,,,50,100,,,高毒,,,,,
,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=CC=C4F)N=N3)C(C=CC=C5)=C5S2)=C1,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=CC=C4F)N=N3)C(C=CC=C5)=C5S2)=C1,"11c, R1=H,R2=2-F",12.5,,,,,12.5,25,,,高毒,,,,,
,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=C(O)C=C4)N=N3)C(C=CC=C5)=C5S2)=C1,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=C(O)C=C4)N=N3)C(C=CC=C5)=C5S2)=C1,"11d, R1=H,R2=4-OH",50,,,,,50,100,,,中毒,,,,,
,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C(C=CC=C5)=C5S2)=C1,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C(C=CC=C5)=C5S2)=C1,"11e, R1=H,R2=4-CN",6.25,,,,,12.5,12.5,,,中毒,,,,,
,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=C(OC)C=C4)N=N3)C(C=CC=C5)=C5S2)=C1,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=C(OC)C=C4)N=N3)C(C=CC=C5)=C5S2)=C1,"11f, R1=H,R2=4-OMe",25,,,,,25,50,,,中毒,,,,,
,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=C(F)C=C4)N=N3)C(C=CC=C5)=C5S2)=C1,[H]C1=CC=C2C(N(CC3=CN(CC4=CC=C(F)C=C4)N=N3)C(C=CC=C5)=C5S2)=C1,"11g, R1=H,R2=4-F",12.5,,,,,12.5,12.5,,,中毒,,,,,
,FC(C1=CC=C2C(N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C(C=CC=C5)=C5S2)=C1)(F)F,FC(C1=CC=C2C(N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C(C=CC=C5)=C5S2)=C1)(F)F,"11h, R1=CF3,R2=4-CN",12.5,,,,,25,50,,,中毒,,,,,
,,,,,,,,,,,,,,,,,,
,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=NC=N5)=O)=C6)=C6S2)=C1,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=NC=N5)=O)=C6)=C6S2)=C1,"14b, R1=H,R2=4-CN 苯甲基，X=N,Y=CH,Z=N",50,,,,,50,100,,,中毒,,,,,
,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=CN=C5)=O)=C6)=C6S2)=C1,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=CN=C5)=O)=C6)=C6S2)=C1,"14c, R1=H,R2=4-CN 苯甲基，X=CH,Y=N,Z=CH",12.5,,,,,25,25,,,中毒,,,,,
,O=C(C1=CC=NC=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,O=C(C1=CC=NC=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,"14d, R1=CF3,R2=4-CN 苯甲基，X=N,Y=CH,Z=CH",50,,,,,100,100,,,高毒,,,,,
,O=C(C1=CC=NC=N1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,O=C(C1=CC=NC=N1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,"14e, R1=CF3,R2=4-CN 苯甲基，X=N,Y=CH,Z=N",50,,,,,50,100,,,中毒,,,,,
,O=C(C1=CC=CN=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,O=C(C1=CC=CN=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,"14f, R1=CF3,R2=4-CN 苯甲基，X=CH,Y=N,Z=CH",50,,,,,50,100,,,中毒,,,,,
,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=C([N+]([O-])=O)C=C5)=O)=C6)=C6S2)=C1,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=C([N+]([O-])=O)C=C5)=O)=C6)=C6S2)=C1,"14g, R1=H,R2=4-CN 苯甲基，R3=NO2",25,,,,,50,50,,,高毒,,,,,
,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=C([H])C=C5)=O)=C6)=C6S2)=C1,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=C([H])C=C5)=O)=C6)=C6S2)=C1,"14h, R1=H,R2=4-CN 苯甲基，R3=H",12.5,,,,,25,25,,,高毒,,,,,
,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=C(F)C=C5)=O)=C6)=C6S2)=C1,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=C(F)C=C5)=O)=C6)=C6S2)=C1,"14i, R1=H,R2=4-CN 苯甲基，R3=F",6.25,,,,,12.5,12.5,,,高毒,,,,,
,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=C(C)C=C5)=O)=C6)=C6S2)=C1,[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=C(C)C=C5)=O)=C6)=C6S2)=C1,"14j, R1=H,R2=4-CN 苯甲基，R3=CH3",25,,,,,50,100,,,高毒,,,,,
,O=C(C1=CC=C([N+]([O-])=O)C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,O=C(C1=CC=C([N+]([O-])=O)C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,"14k, R1=CF3,R2=4-CN 苯甲基，R3=NO2",25,,,,,50,50,,,中毒,,,,,
,O=C(C1=CC=C([H])C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,O=C(C1=CC=C([H])C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,"14l, R1=CF3,R2=4-CN 苯甲基，R3=H",50,,,,,50,50,,,高毒,,,,,
,O=C(C1=CC=C(F)C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,O=C(C1=CC=C(F)C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,"14m, R1=CF3,R2=4-CN 苯甲基，R3=F",6.25,,,,,12.5,12.5,,,高毒,,,,,
,O=C(C1=CC=C(C)C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,O=C(C1=CC=C(C)C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,"14n, R1=CF3,R2=4-CN 苯甲基，R3=CH3",25,,,,,50,50,,,中毒,,,,,
869,,,,S.aureus,E. faecalis,S. agalacticae,,,E.Coli,P.aeruginosa,,,,Bioorganic & Medicinal Chemistry 25.20 (2017): 5380-5395.,,,,
,O=C(NCC[NH3+])C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2,O=C(NCC[NH3+])C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2,,16,32,16,,,16,32,,,高毒,,,,,
,O=C(NCC[NH3+])C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2,O=C(NCC[NH3+])C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2,,4,-,8,,,-,16,,,高毒,,,,,
,O=C(NCC[NH3+])C1=CN(C(C=C2)=CC=C2OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)N=N1,O=C(NCC[NH3+])C1=CN(C(C=C2)=CC=C2OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)N=N1,,-,8,2,,,-,16,,,高毒,,,,,
,O=C(NCCNC(N)=[NH2+])C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1,O=C(NCCNC(N)=[NH2+])C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1,,8,16,8,,,16,16,,,中毒,,,,,
,O=C(NCCNC(N)=[NH2+])C1=CN(C2=CC=C(OCCCCCCC)C=C2)N=N1,O=C(NCCNC(N)=[NH2+])C1=CN(C2=CC=C(OCCCCCCC)C=C2)N=N1,,4,16,8,,,8,8,,,中毒,,,,,
,O=C(NCCNC(N)=[NH2+])C1=CN(C(C=C2)=CC=C2OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)N=N1,O=C(NCCNC(N)=[NH2+])C1=CN(C(C=C2)=CC=C2OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)N=N1,,8,16,4,,,-,-,,,中毒,,,,,
,C/C(C1=CN(CC2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=N\NC(N)=[NH2+],C/C(C1=CN(CC2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=N\NC(N)=[NH2+],,4,8,4,,,8,8,,,高毒,,,,,
,C/C(C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=N\NC(N)=[NH2+],C/C(C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=N\NC(N)=[NH2+],,4,4,2,,,4,16,,,高毒,,,,,
,C/C(C1=CN(C2=CC=C(OCCCCCCC)C=C2)N=N1)=N\NC(N)=[NH2+],C/C(C1=CN(C2=CC=C(OCCCCCCC)C=C2)N=N1)=N\NC(N)=[NH2+],,-,32,8,,,16,64,,,高毒,,,,,
,C/C(C1=CN(C(C=C2)=CC=C2OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)N=N1)=N\NC(N)=[NH2+],C/C(C1=CN(C(C=C2)=CC=C2OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)N=N1)=N\NC(N)=[NH2+],,-,64,0.5,,,-,,,,高毒,,,,,
883,,,,S.aureus, Micrococcus luteus, Bacillus cereus,,,E.Coli,Pseudomonas fluorescens, Flavobacterium devorans,,,"Polycyclic Aromatic Compounds, 2022, 42(4): 1920-1941.",,,,
,,,,128,128,256,,,256,256,256,,中毒,,,,,
,,,,,,,,,,,,,,,,,,
,,,"5a, R₁ = H, R₂ = H, R₃ = H, R₄ = H",16,32,32,,,16,16,8,,中毒,,,,,
,,,"5b, R₁ = Cl, R₂ = H, R₃ = H, R₄ = H",8,16,16,,,8,8,32,,中毒,,,,,
,,,"5c, R₁ = H, R₂ = H, R₃ = Cl, R₄ = H",16,16,16,,,4,8,8,,中毒,,,,,
,,,"5d, R₁ = Me, R₂ = H, R₃ = H, R₄ = H",8,16,32,,,4,128,16,,中毒,,,,,
,,,"5e, R₁ = H, R₂ = H, R₃ = Me, R₄ = H",8,32,4,,,16,16,8,,中毒,,,,,
,,,"5f, R₁ = Me, R₂ = H, R₃ = Me, R₄ = H",8,16,4,,,4,16,8,,中毒,,,,,
,,,"5g, R₁ = H, R₂ = Me, R₃ = Cl, R₄ = H",8,32,4,,,4,4,4,,中毒,,,,,
,,,"5h, R₁ = Cl, R₂ = H, R₃ = Cl, R₄ = Cl",16,16,8,,,4,4,4,,中毒,,,,,
,,,,16,16,4,,,4,128,4,,中毒,,,,,
924,,,,S.aureus,Bacillus subtilis,Staphylococcus epidermidis,,,,,,,,Journal of Heterocyclic Chemistry 57.4 (2020): 1655-1665.,,,,
,FC(C=C(N1N=NC(COC2=CC=CC=C2)=C1)C=C3)=C3N4CCOCC4,FC(C=C(N1N=NC(COC2=CC=CC=C2)=C1)C=C3)=C3N4CCOCC4,,25±0.48,25±0.31,50±0.37,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(COC2=CC=CC(Cl)=C2)=C1)C=C3)=C3N4CCOCC4,FC(C=C(N1N=NC(COC2=CC=CC(Cl)=C2)=C1)C=C3)=C3N4CCOCC4,,25±0.18,25±0.28,50±0.33,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(COC2=CC(Cl)=CC(Cl)=C2)=C1)C=C3)=C3N4CCOCC4,FC(C=C(N1N=NC(COC2=CC(Cl)=CC(Cl)=C2)=C1)C=C3)=C3N4CCOCC4,,6.25±0.21,12.5±0.41,12.5±0.37,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(COC2=CC=C(Br)C=C2)=C1)C=C3)=C3N4CCOCC4,FC(C=C(N1N=NC(COC2=CC=C(Br)C=C2)=C1)C=C3)=C3N4CCOCC4,,25±0.34,25±0.61,25±0.26,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(COC2=CC=CC=C2F)=C1)C=C3)=C3N4CCOCC4,FC(C=C(N1N=NC(COC2=CC=CC=C2F)=C1)C=C3)=C3N4CCOCC4,,12.5±0.37,3.12±0.22,6.25±0.34,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(COC2=CC=C(F)C=C2)=C1)C=C3)=C3N4CCOCC4,FC(C=C(N1N=NC(COC2=CC=C(F)C=C2)=C1)C=C3)=C3N4CCOCC4,,3.12±0.85,1.56±0.72,3.12±0.65,,,,,,,高毒,,,,,
,FC(C=C(N1N=NC(COC2=CC=CC(C(F)(F)F)=C2)=C1)C=C3)=C3N4CCOCC4,FC(C=C(N1N=NC(COC2=CC=CC(C(F)(F)F)=C2)=C1)C=C3)=C3N4CCOCC4,,12.5±0.84,12.5±0.35,25±1.37,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(COC2=CC=CC([N+]([O-])=O)=C2)=C1)C=C3)=C3N4CCOCC4,FC(C=C(N1N=NC(COC2=CC=CC([N+]([O-])=O)=C2)=C1)C=C3)=C3N4CCOCC4,,50±0.39,50±0.32,25±0.41,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(COC2=CC=CC3=C2C=CC=C3)=C1)C=C4)=C4N5CCOCC5,FC(C=C(N1N=NC(COC2=CC=CC3=C2C=CC=C3)=C1)C=C4)=C4N5CCOCC5,,50±1.25,,,,,,,,,中毒,,,,,
,,,,,,,,,,,,,,,,,,
,FC(C=C(N1N=NC(CN2C(CSC3=C2C=CC=C3)=O)=C1)C=C4)=C4N5CCOCC5,FC(C=C(N1N=NC(CN2C(CSC3=C2C=CC=C3)=O)=C1)C=C4)=C4N5CCOCC5,,6.25±0.43,6.25±0.31,25±0.62,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(CN2CCS(C3=C2C=CC=C3)(=O)=O)=C1)C=C4)=C4N5CCOCC5,FC(C=C(N1N=NC(CN2CCS(C3=C2C=CC=C3)(=O)=O)=C1)C=C4)=C4N5CCOCC5,,1.56±0.51,3.12±0.24,50±1.07,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(CN2C(C=CC=C3)=C3SC4=C2C=CC=C4)=C1)C=C5)=C5N6CCOCC6,FC(C=C(N1N=NC(CN2C(C=CC=C3)=C3SC4=C2C=CC=C4)=C1)C=C5)=C5N6CCOCC6,,12.5±0.23,6.25±0.41,25±0.56,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(CSC2=NC(C=CC=C3)=C3S2)=C1)C=C4)=C4N5CCOCC5,FC(C=C(N1N=NC(CSC2=NC(C=CC=C3)=C3S2)=C1)C=C4)=C4N5CCOCC5,,50±1.27,25±1.03,50±0.98,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(COC(C2=CC(C=CC=C3)=C3N2)=O)=C1)C=C4)=C4N5CCOCC5,FC(C=C(N1N=NC(COC(C2=CC(C=CC=C3)=C3N2)=O)=C1)C=C4)=C4N5CCOCC5,,25±1.18,25±0.32,3.12±0.21,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(COC2=CC=CC3=C2N=CC=C3)=C1)C=C4)=C4N5CCOCC5,FC(C=C(N1N=NC(COC2=CC=CC3=C2N=CC=C3)=C1)C=C4)=C4N5CCOCC5,,50±1.27,25±0.44,25±0.49,,,,,,,高毒,,,,,
,FC(C=C(N1N=NC(CN2C(COC3=C2C=CC(Br)=C3)=O)=C1)C=C4)=C4N5CCOCC5,FC(C=C(N1N=NC(CN2C(COC3=C2C=CC(Br)=C3)=O)=C1)C=C4)=C4N5CCOCC5,,25±0.89,25±1.21,25±1.35,,,,,,,中毒,,,,,
,FC(C=C(N1N=NC(COC2=CC=C(C(C)=CC(O3)=O)C3=C2)=C1)C=C4)=C4N5CCOCC5,FC(C=C(N1N=NC(COC2=CC=C(C(C)=CC(O3)=O)C3=C2)=C1)C=C4)=C4N5CCOCC5,,25±1.51,50±1.68,25±1.14,,,,,,,高毒,,,,,
,FC(C=C(N1N=NC(COC2=CC(OC3=C2C=CC=C3)=O)=C1)C=C4)=C4N5CCOCC5,FC(C=C(N1N=NC(COC2=CC(OC3=C2C=CC=C3)=O)=C1)C=C4)=C4N5CCOCC5,,50±1.47,25±1.19,25±0.25,,,,,,,高毒,,,,,
,FC(C=C(N1N=NC(CSC2=NC(C=CC=C3)=C3O2)=C1)C=C4)=C4N5CCOCC5,FC(C=C(N1N=NC(CSC2=NC(C=CC=C3)=C3O2)=C1)C=C4)=C4N5CCOCC5,,25±1.68,12.5±0.45,6.25±0.35,,,,,,,中毒,,,,,
925,,,,S.aureus,,,,,E.Coli,K. pneumoniae,P. vulgaris,,,Journal of Heterocyclic Chemistry 57.8 (2020): 3126-3141.,,,,
,,,"9b R= 2,6-di(Me)C6H3NHCOCH2",,,,,,,50,150,,中毒,,,,,
,,,9c R= 2-NO2C6H4NHCOCH2,,,,,,,50,150,,中毒,,,,,
,,,9e R= 2-ClC6H4NHCOCH2,200,,,,,25,100,100,,中毒,,,,,
,,,9h R= 2-CH3C6H4NHCOCH2,50,,,,,50,,150,,中毒,,,,,
,,,9j R=C6H5,100,,,,,50,150,150,,中毒,,,,,
,,,9k R= 2-NO2C6H4,,,,,,50,,150,,中毒,,,,,
,,,9m R= 4MeO-2-NO2C6H3NHCOCH2,150,,,,,50,150,,,中毒,,,,,
,,,9o R= 3-COOHC6H4,150,,,,,,,150,,中毒,,,,,
933,,,,S.aureus,Enterococcus faecalis,,,,E.Coli,K. pneumoniae,P.aeruginosa,,,Molecules 23.1 (2018): 199.,,,,
,O=C1C=C(OCC2=CN(C3=CC=CC=C3OC)N=N2)C4=C(O1)C=CC=C4,O=C1C=C(OCC2=CN(C3=CC=CC=C3OC)N=N2)C4=C(O1)C=CC=C4,,200,12.5,,,,1600,1600,1600,,低毒,,,,,
,O=C1C=C(OCC2=CN(C3=CC=C(F)C=C3)N=N2)C4=C(O1)C=CC=C4,O=C1C=C(OCC2=CN(C3=CC=C(F)C=C3)N=N2)C4=C(O1)C=CC=C4,,1600,50,,,,1600,400,1600,,低毒,,,,,
,O=C1C=C(NCC2=CN(C3=CC=CC([N+]([O-])=O)=C3)N=N2)C4=C(O1)C=CC=C4,O=C1C=C(NCC2=CN(C3=CC=CC([N+]([O-])=O)=C3)N=N2)C4=C(O1)C=CC=C4,,100,50,,,,800,800,1600,,低毒,,,,,
949,,,, S. aureus, B. subtilis,,,, E. coli, K. pneumoniae,,,," Future Medicinal Chemistry, 2023, 15(8): 679-697.",,,,
,O=C(N1CCN(C2=CC=CC=C2)CC1)CN3N=NC(COC4=CC=CC=C4)=C3,O=C(N1CCN(C2=CC=CC=C2)CC1)CN3N=NC(COC4=CC=CC=C4)=C3,7a R=H，R1=H,49.99,49.99,,,,24.98,24.98,,,高毒,,,,,
,CC1=CC=C(OCC2=CN(CC(N3CCN(C4=CC=CC=C4)CC3)=O)N=N2)C=C1,CC1=CC=C(OCC2=CN(CC(N3CCN(C4=CC=CC=C4)CC3)=O)N=N2)C=C1,7b R=CH3  R1=H,50.13,50.13,,,,24.96,24.96,,,高毒,,,,,
,CCC1=CC=C(OCC2=CN(CC(N3CCN(C4=CC=CC=C4)CC3)=O)N=N2)C=C1,CCC1=CC=C(OCC2=CN(CC(N3CCN(C4=CC=CC=C4)CC3)=O)N=N2)C=C1,7c R=C2H5 R1=H,49.99,24.99,,,,12.49,24.99,,,高毒,,,,,
,O=C(N1CCN(C2=CC=CC=C2)CC1)CN3N=NC(COC4=CC=C(C5=CC=CC=C5)C=C4)=C3,O=C(N1CCN(C2=CC=CC=C2)CC1)CN3N=NC(COC4=CC=C(C5=CC=CC=C5)C=C4)=C3,7d R=C6H5 R1=H,24.99,49.99,,,,12.49,24.99,,,中毒,,,,,
,O=C(N1CCN(C2=CC=CC=C2)CC1)CN3N=NC(COC4=C5C=CC=CC5=CC=C4)=C3,O=C(N1CCN(C2=CC=CC=C2)CC1)CN3N=NC(COC4=C5C=CC=CC5=CC=C4)=C3,7e R1=H,24.99,49.99,,,,24.99,24.99,,,高毒,,,,,
,FC1=CC=C(OCC2=CN(CC(N3CCN(C4=CC=CC=C4)CC3)=O)N=N2)C=C1,FC1=CC=C(OCC2=CN(CC(N3CCN(C4=CC=CC=C4)CC3)=O)N=N2)C=C1,7f R=F R1=H,49.99,24.99,,,,12.49,24.99,,,高毒,,,,,
